name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),veg_nonveg_type,famous_dish,success_rate,cancellation_rate,latitude,longitude,distance_km
Cafe Vivacity,1,0,3.8,90,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650.0,Cafes,Banashankari,Veg,Garlic Bread,0.5234897109904229,0.47651028900957715,12.9255,77.5468,8.397339338288553
Catch-up-ino,1,0,3.9,133,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes,Banashankari,Veg,Momos,0.5142289287741534,0.4857710712258466,12.9255,77.5468,8.397339338288553
Kirthi's Biryani,1,0,3.8,144,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700.0,Cafes,Banashankari,Veg,Pasta,0.568278906553718,0.43172109344628196,12.9255,77.5468,8.397339338288553
T3H Cafe,0,0,3.9,93,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300.0,Cafes,Banashankari,Veg,Cheese Maggi,0.31875635325816,0.68124364674184,12.9255,77.5468,8.397339338288553
360 Atoms Restaurant And Cafe,1,0,3.1,13,Banashankari,Cafe,Cafe,"Cafe, Chinese, Continental, Italian",400.0,Cafes,Banashankari,Veg,Cafe,0.392116516454148,0.607883483545852,12.9255,77.5468,8.397339338288553
The Vintage Cafe,1,0,3.0,62,Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400.0,Cafes,Banashankari,Veg,Burgers,0.5243874764688914,0.4756125235311086,12.9255,77.5468,8.397339338288553
Woodee Pizza,1,0,3.7,180,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500.0,Cafes,Banashankari,Veg,Pizza,0.5294193598806162,0.47058064011938383,12.9255,77.5468,8.397339338288553
Cafe Coffee Day,0,0,3.6,28,Banashankari,Cafe,Cafe,"Cafe, Fast Food",900.0,Cafes,Banashankari,Veg,Cafe,0.32887545966405396,0.671124540335946,12.9255,77.5468,8.397339338288553
My Tea House,1,0,3.6,62,Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600.0,Cafes,Banashankari,Veg,Pasta,0.45486762871214087,0.5451323712878591,12.9255,77.5468,8.397339338288553
Hide Out Cafe,0,0,3.7,31,Banashankari,Cafe,Cafe,Cafe,300.0,Cafes,Banashankari,Veg,Cafe,0.3108333827851477,0.6891666172148523,12.9255,77.5468,8.397339338288553
CAFE NOVA,0,0,3.2,11,Banashankari,Cafe,Cafe,"Cafe, Bakery",600.0,Cafes,Banashankari,Veg,Cafe,0.2807421846185732,0.7192578153814269,12.9255,77.5468,8.397339338288553
Coffee Tindi,1,0,3.8,75,Banashankari,"Cafe, Quick Bites",Cafe,"Cafe, South Indian",200.0,Cafes,Banashankari,Veg,Cafe,0.49378706067261113,0.5062129393273889,12.9255,77.5468,8.397339338288553
Sea Green Cafe,0,0,3.3,4,Banashankari,Cafe,Cafe,"Cafe, Fast Food, Beverages",500.0,Cafes,Banashankari,Veg,Cafe,0.306356193692949,0.693643806307051,12.9255,77.5468,8.397339338288553
Cuppa,0,0,3.3,23,Banashankari,Cafe,Cafe,"Cafe, Fast Food",550.0,Cafes,Banashankari,Veg,Cafe,0.25787799896413577,0.7421220010358642,12.9255,77.5468,8.397339338288553
Srinathji's Cafe,0,0,3.8,148,Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,Banashankari,Veg,Paratha,0.3380531452099559,0.6619468547900441,12.9416,77.5713,5.2424212338771845
Redberrys,1,0,4.0,219,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600.0,Cafes,Banashankari,Veg,Pizza,0.5488179488562107,0.4511820511437893,12.9416,77.5713,5.2424212338771845
Foodiction,1,0,2.8,506,Banashankari,Quick Bites,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani","North Indian, Fast Food, Chinese, Burger",500.0,Delivery,Banashankari,Veg,Burgers,0.5266324453471198,0.47336755465288016,12.9255,77.5468,8.397339338288553
Sweet Truth,1,0,3.9,35,Banashankari,Delivery,Bakery,"Bakery, Desserts",500.0,Delivery,Banashankari,Veg,Bakery,0.5624489505501755,0.4375510494498245,12.9255,77.5468,8.397339338288553
Ovenstory Pizza,1,0,3.9,172,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750.0,Delivery,Banashankari,Veg,Paneer Tikka,0.5126800429058173,0.48731995709418274,12.9255,77.5468,8.397339338288553
Faasos,1,0,4.2,415,Banashankari,Quick Bites,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap","North Indian, Biryani, Fast Food",500.0,Delivery,Banashankari,Both,Rolls,0.6485238710804446,0.3514761289195554,12.9255,77.5468,8.397339338288553
Behrouz Biryani,1,0,3.9,230,Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650.0,Delivery,Banashankari,Non-Veg,Raita,0.5055571521022094,0.4944428478977906,12.9255,77.5468,8.397339338288553
Fast And Fresh,1,0,2.8,91,Banashankari,Quick Bites,North Indian,"North Indian, Chinese, Fast Food",400.0,Delivery,Banashankari,Veg,North Indian,0.4370650903966256,0.5629349096033744,12.9255,77.5468,8.397339338288553
Szechuan Dragon,1,0,4.2,1647,Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600.0,Delivery,Banashankari,Veg,Noodles,0.5313712941862394,0.4686287058137606,12.9255,77.5468,8.397339338288553
Empire Restaurant,1,0,4.4,4884,Jayanagar,Casual Dining,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice","North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,Banashankari,Veg,Chicken Tikka Masala,0.6456391766425311,0.3543608233574689,12.925,77.5938,5.768672173515686
Maruthi Davangere Benne Dosa,1,0,4.0,17,Banashankari,Quick Bites,South Indian,South Indian,150.0,Delivery,Banashankari,Veg,South Indian,0.5851460560900341,0.4148539439099659,12.9255,77.5468,8.397339338288553
Chaatimes,1,0,3.8,133,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200.0,Delivery,Banashankari,Veg,Dabeli,0.5892938137906452,0.41070618620935484,12.9416,77.5713,5.2424212338771845
Havyaka Mess,0,0,3.9,28,Banashankari,Mess,South Indian,South Indian,300.0,Delivery,Banashankari,Veg,South Indian,0.3715674634891563,0.6284325365108436,12.9255,77.5468,8.397339338288553
McDonald's,1,0,3.9,286,Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500.0,Delivery,Banashankari,Veg,Burgers,0.5618150193406639,0.4381849806593361,12.9255,77.5468,8.397339338288553
Domino's Pizza,1,0,3.9,540,Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800.0,Delivery,Banashankari,Veg,Pane Pizza,0.5570693399353644,0.44293066006463555,12.9255,77.5468,8.397339338288553
Onesta,1,1,4.6,2556,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600.0,Delivery,Banashankari,Veg,Farmhouse Pizza,0.6216299841318187,0.3783700158681813,12.9255,77.5468,8.397339338288553
Hotboxit,0,0,3.8,36,Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400.0,Delivery,Banashankari,Veg,Prompt Service,0.3146494245612531,0.6853505754387469,12.9255,77.5468,8.397339338288553
Kitchen Garden,1,0,3.6,244,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300.0,Delivery,Banashankari,Veg,Biryani,0.5063169207676,0.49368307923239996,12.9716,77.5946,1.1799233423387865
Recipe,1,0,4.0,804,Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450.0,Delivery,Banashankari,Both,Butter Chicken,0.642185959219691,0.357814040780309,12.9716,77.5946,1.1799233423387865
Beijing Bites,1,0,3.7,679,Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850.0,Delivery,Banashankari,Veg,Momos,0.5667828631476246,0.4332171368523754,12.9716,77.5946,1.1799233423387865
Tasty Bytes,1,0,3.1,245,Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300.0,Delivery,Banashankari,Veg,Paratha,0.37871467474136905,0.621285325258631,12.9716,77.5946,1.1799233423387865
Petoo,0,0,3.7,21,Banashankari,Quick Bites,North Indian,North Indian,450.0,Delivery,Banashankari,Veg,North Indian,0.3540784855419831,0.6459215144580168,12.9255,77.5468,8.397339338288553
Shree Cool Point,1,0,4.1,28,Vijay Nagar,Quick Bites,Fast Food,"Fast Food, Street Food, Beverages",150.0,Delivery,Banashankari,Veg,Fast Food,0.568744935408842,0.43125506459115803,12.9716,77.5946,1.1799233423387865
Corner House Ice Cream,0,0,4.3,345,Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400.0,Delivery,Banashankari,Veg,Hot Chocolate Fudge,0.38480290188584276,0.6151970981141572,12.9255,77.5468,8.397339338288553
Biryanis And More,1,0,4.0,618,Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery,Banashankari,Both,Prawn Biryani,0.6165985482823475,0.3834014517176525,12.925,77.5938,5.768672173515686
Roving Feast,0,0,4.0,1047,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery,Banashankari,Veg,Pasta,0.4452108601552158,0.5547891398447842,12.9255,77.5468,8.397339338288553
FreshMenu,1,0,3.9,627,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery,Banashankari,Both,Salads,0.6202391485413612,0.3797608514586388,12.9255,77.5468,8.397339338288553
Banashankari Donne Biriyani,1,0,3.8,104,Banashankari,Quick Bites,Biryani,"Biryani, Fast Food",300.0,Delivery,Banashankari,Both,Biryani,0.5098927360061684,0.49010726399383164,12.9255,77.5468,8.397339338288553
Wamama,1,1,4.2,354,Banashankari,Casual Dining,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll","Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,Delivery,Banashankari,Veg,Sushi,0.5908487918538271,0.4091512081461729,12.9255,77.5468,8.397339338288553
Five Star Chicken,0,0,3.6,55,Banashankari,Quick Bites,Fast Food,"Fast Food, Burger",200.0,Delivery,Banashankari,Veg,Fast Food,0.3425434472355775,0.6574565527644225,12.9255,77.5468,8.397339338288553
XO Belgian Waffle,1,0,3.7,17,Banashankari,Dessert Parlor,Desserts,"Desserts, Beverages",400.0,Delivery,Banashankari,Veg,Desserts,0.5865802506526959,0.4134197493473041,12.9255,77.5468,8.397339338288553
Peppy Peppers,0,0,4.2,244,Banashankari,Casual Dining,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup","Italian, North Indian, Mexican",800.0,Delivery,Banashankari,Veg,Pasta,0.3803901474233249,0.6196098525766751,12.9255,77.5468,8.397339338288553
Goa 0 Km,1,1,3.6,163,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery,Banashankari,Both,Sea Food,0.5186222317751742,0.4813777682248258,12.9716,77.5946,1.1799233423387865
Chinese Kitchen,1,0,3.8,58,Basavanagudi,Quick Bites,Chinese,Chinese,150.0,Delivery,Banashankari,Veg,Chinese,0.4957169965468469,0.5042830034531531,12.9416,77.5713,5.2424212338771845
1947,0,1,4.0,808,Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850.0,Delivery,Banashankari,Veg,Salads,0.3295908094803771,0.6704091905196229,12.9255,77.5468,8.397339338288553
Cake of the Day,0,0,3.7,78,Banashankari,"Bakery, Dessert Parlor",Bakery,Bakery,150.0,Delivery,Banashankari,Veg,Bakery,0.3795165002451852,0.6204834997548148,12.9255,77.5468,8.397339338288553
Kabab Magic,1,0,4.1,1720,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400.0,Delivery,Banashankari,Both,Grape Juice,0.6859678949646628,0.3140321050353372,12.9416,77.5713,5.2424212338771845
Namma Brahmin's Idli,1,0,3.6,34,Jayanagar,Quick Bites,South Indian,South Indian,100.0,Delivery,Banashankari,Veg,South Indian,0.5220054825141391,0.47799451748586086,12.925,77.5938,5.768672173515686
Gustoes Beer House,0,0,4.1,868,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Delivery,Banashankari,Veg,Beer,0.45314717721399284,0.5468528227860072,12.9255,77.5468,8.397339338288553
Sugar Rush,0,0,3.8,39,Banashankari,Bakery,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,Veg,Bakery,0.36877690581511935,0.6312230941848807,12.9255,77.5468,8.397339338288553
Burger King,1,0,3.2,71,Basavanagudi,Quick Bites,Burger,"Burger, Fast Food, Beverages",600.0,Delivery,Banashankari,Veg,Burger,0.44400945903780464,0.5559905409621954,12.9416,77.5713,5.2424212338771845
The Good Bowl,1,0,3.6,6,Banashankari,"Takeaway, Delivery",Italian,"Italian, North Indian, Biryani",500.0,Delivery,Banashankari,Both,Italian,0.5431767194389189,0.4568232805610811,12.9255,77.5468,8.397339338288553
The Biryani Cafe,0,0,4.1,520,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300.0,Delivery,Banashankari,Non-Veg,Vegetable Biryani,0.4736698891598003,0.5263301108401996,12.9255,77.5468,8.397339338288553
Spicy Tandoor,0,0,3.700448817952718,0,Banashankari,Quick Bites,North Indian,North Indian,150.0,Delivery,Banashankari,Veg,North Indian,0.3357648002885922,0.6642351997114078,12.9255,77.5468,8.397339338288553
LSD Cafe,0,0,2.9,84,Banashankari,Delivery,Chinese,"Chinese, Continental, Italian, North Indian",700.0,Delivery,Banashankari,Veg,Chinese,0.31722933107967366,0.6827706689203263,12.9255,77.5468,8.397339338288553
Rolls On Wheels,0,0,3.6,299,Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300.0,Delivery,Banashankari,Veg,Rolls,0.19934187977650136,0.8006581202234986,12.9255,77.5468,8.397339338288553
Om Sri Vinayaka Chats,0,0,3.700448817952718,0,Banashankari,"Takeaway, Delivery",Street Food,"Street Food, Fast Food",500.0,Delivery,Banashankari,Veg,Street Food,0.37865122746285096,0.621348772537149,12.9255,77.5468,8.397339338288553
Sri Guru Kottureshwara Davangere Benne Dosa,1,0,4.1,558,Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150.0,Delivery,Banashankari,Veg,Benne Dosa,0.6017976956172317,0.39820230438276827,12.9416,77.5713,5.2424212338771845
Devanna Dum Biriyani Centre,1,0,3.6,28,Banashankari,Quick Bites,Biryani,"Biryani, South Indian",300.0,Delivery,Banashankari,Both,Biryani,0.5105486819063645,0.4894513180936355,12.9255,77.5468,8.397339338288553
Kolbeh,0,0,3.7,22,Banashankari,Quick Bites,Fast Food,Fast Food,500.0,Delivery,Banashankari,Veg,Fast Food,0.34248014909293484,0.6575198509070652,12.9255,77.5468,8.397339338288553
Upahar Sagar,0,0,3.8,39,Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350.0,Delivery,Banashankari,Veg,Masala Dosa,0.25131665883269294,0.7486833411673071,12.9255,77.5468,8.397339338288553
Kadalu Sea Food Restaurant,1,0,3.8,153,Vijay Nagar,Fine Dining,Seafood,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,Delivery,Banashankari,Both,Seafood,0.5417433542773259,0.4582566457226741,12.9716,77.5946,1.1799233423387865
Frozen Bottle,1,0,4.2,146,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400.0,Delivery,Banashankari,Veg,Berryblast,0.6204578148873744,0.3795421851126256,12.9255,77.5468,8.397339338288553
Parimala Sweets,0,0,3.5,14,Banashankari,Sweet Shop,Mithai,"Mithai, Street Food",200.0,Delivery,Banashankari,Veg,Mithai,0.3866442269519047,0.6133557730480953,12.9255,77.5468,8.397339338288553
Vaishali Deluxe,0,0,3.8,42,Banashankari,Casual Dining,North Indian,"North Indian, Chinese",700.0,Delivery,Banashankari,Veg,North Indian,0.3248350632308043,0.6751649367691956,12.9255,77.5468,8.397339338288553
Chill Out,0,0,3.700448817952718,0,Banashankari,Quick Bites,South Indian,"South Indian, Chinese",100.0,Delivery,Banashankari,Veg,South Indian,0.2971314220994304,0.7028685779005697,12.9255,77.5468,8.397339338288553
The Big O Bakes,0,0,4.0,66,Banashankari,Bakery,Bakery,"Bakery, Desserts",300.0,Delivery,Banashankari,Veg,Bakery,0.35108847861925224,0.6489115213807477,12.9255,77.5468,8.397339338288553
Meghana Foods,1,0,4.4,4401,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600.0,Delivery,Banashankari,Both,Chicken Boneless Biryani,0.7492099823109593,0.25079001768904075,12.925,77.5938,5.768672173515686
Krishna Sagar,0,0,3.5,31,Banashankari,Quick Bites,North Indian,North Indian,200.0,Delivery,Banashankari,Veg,North Indian,0.32949007449439105,0.670509925505609,12.9255,77.5468,8.397339338288553
Dessert Rose,0,0,3.5,7,Banashankari,Dessert Parlor,Desserts,Desserts,500.0,Delivery,Banashankari,Veg,Desserts,0.2861367521690625,0.7138632478309375,12.9255,77.5468,8.397339338288553
Chickpet Donne Biryani House,0,0,3.7,21,Banashankari,Quick Bites,Biryani,Biryani,250.0,Delivery,Banashankari,Non-Veg,Biryani,0.36353765872791116,0.6364623412720889,12.9255,77.5468,8.397339338288553
Me And My Cake,0,0,3.700448817952718,0,Banashankari,Delivery,Bakery,"Bakery, Desserts",500.0,Delivery,Banashankari,Veg,Bakery,0.3424099797114918,0.6575900202885082,12.9255,77.5468,8.397339338288553
Sunsadm,0,0,3.700448817952718,0,Banashankari,"Takeaway, Delivery",South Indian,South Indian,400.0,Delivery,Banashankari,Veg,South Indian,0.3859883517707342,0.6140116482292658,12.9255,77.5468,8.397339338288553
Annapooraneshwari Mess,0,0,3.700448817952718,0,Banashankari,Mess,South Indian,South Indian,200.0,Delivery,Banashankari,Veg,South Indian,0.30245344755022213,0.6975465524497779,12.9255,77.5468,8.397339338288553
Thanco's Natural Ice Creams,0,0,3.2,9,Banashankari,Dessert Parlor,Ice Cream,Ice Cream,300.0,Delivery,Banashankari,Veg,Ice Cream,0.25877730141535876,0.7412226985846413,12.9255,77.5468,8.397339338288553
Nandhini Deluxe,0,0,2.6,283,Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600.0,Delivery,Banashankari,Veg,Biryani,0.18543855622171912,0.8145614437782809,12.9255,77.5468,8.397339338288553
Vi Ra's Bar and Restaurant,0,0,3.3,62,Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800.0,Delivery,Banashankari,Veg,Chilli Chicken,0.21542929061620775,0.7845707093837923,12.9255,77.5468,8.397339338288553
Kaggis,0,0,3.8,64,Banashankari,Quick Bites,Fast Food,"Fast Food, Bakery",250.0,Delivery,Banashankari,Veg,Fast Food,0.3659466982638752,0.6340533017361247,12.9255,77.5468,8.397339338288553
Ayda Persian Kitchen,0,0,3.7,39,Banashankari,Casual Dining,North Indian,"North Indian, Iranian",950.0,Delivery,Banashankari,Veg,North Indian,0.35124786817173215,0.6487521318282679,12.9255,77.5468,8.397339338288553
Chatar Patar,0,0,3.7,65,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300.0,Delivery,Banashankari,Veg,Panipuri,0.3389141804366858,0.6610858195633142,12.9255,77.5468,8.397339338288553
Polar Bear,1,0,3.8,71,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery,Banashankari,Veg,Hot Chocolate Fudge,0.5395360900993036,0.4604639099006964,12.9416,77.5713,5.2424212338771845
Kidambi's Kitchen,0,0,3.5,52,Banashankari,Quick Bites,Rooftop Ambience,South Indian,300.0,Delivery,Banashankari,Veg,Rooftop Ambience,0.24265826898112947,0.7573417310188706,12.9255,77.5468,8.397339338288553
Mane Thindi,0,0,3.7,130,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200.0,Delivery,Banashankari,Veg,Coffee,0.3187847490708575,0.6812152509291425,12.9255,77.5468,8.397339338288553
